Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,param_count,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations,DONE
TBD,TBD,gc_efficientnetv2_rw_t.agc_in1k,288,82.48,34,34,769.8148809,44166514.02,429579.6082,13.68,13677713,3164294854,13677713,3178965252,89420490,TRUE
TBD,TBD,gc_efficientnetv2_rw_t.agc_in1k,224,81.268,38,68,1310.499004,51888683.03,249414.7097,13.68,13677713,1915518342,13677713,1924392580,54128522,TRUE
TBD,TBD,gcresnet33ts.ra2_in1k,288,80.588,60,60,845.7272896,70945008.07,391195.9539,19.88,19880698,5991154198,19880698,6003517876,109381886,TRUE
TBD,TBD,gcresnet33ts.ra2_in1k,256,80.078,76,56,1093.542726,51209745.5,300787.7693,19.88,19880698,4734062712,19880698,4743831544,86428384,TRUE
TBD,TBD,gcresnet50t.ra2_in1k,288,81.458,66,66,777.3886348,84899716.94,422655.602,25.9,25897080,6818190267,25897080,6850644294,143579147,TRUE
TBD,TBD,gcresnet50t.ra2_in1k,256,80.95,82,82,1025.896682,79930118.75,320601.3624,25.9,25897080,5387709168,25897080,5413351856,113449792,TRUE
TBD,TBD,gcresnext26ts.ch_in1k,288,78.438,66,66,707.92217,93230607.24,446628.3136,10.48,10476600,3045371906,10476600,3059195852,94960170,TRUE
TBD,TBD,gcresnext26ts.ch_in1k,256,77.816,84,84,910.7426137,92232487.15,346599.6664,10.48,10476600,2406686904,10476600,2417609528,75033824,TRUE
TBD,TBD,gcresnext50ts.ch_in1k,288,81.234,42,40,452.5459702,88388837.2,705671.5882,15.67,15667320,4704113595,15667320,4724167494,148887563,TRUE
TBD,TBD,gcresnext50ts.ch_in1k,256,80.608,54,52,582.6522218,89247109.77,541388.2326,15.67,15667320,3717327600,15667320,3733172656,117644096,TRUE
TBD,TBD,gcvit_base.in1k,224,84.454,24,24,235.0578174,102102765.7,1396090.786,90.32,90320836,1936910952,90320836,13891346568,153847808,TRUE
TBD,TBD,gcvit_small.in1k,224,83.908,34,28,326.1103629,85860674.13,999947.4847,51.09,51092173,1103656120,51092173,7835878240,115386856,TRUE
TBD,TBD,gcvit_tiny.in1k,224,83.4,52,52,493.0966521,105456206.8,654702.0904,28.22,28221974,508361768,28221974,4302722616,85255120,TRUE
TBD,TBD,gcvit_xtiny.in1k,224,81.968,72,72,710.9648433,101271235.8,449539.9627,19.98,19981294,499590376,19981294,2703061560,59301584,TRUE
TBD,TBD,gcvit_xxtiny.in1k,224,79.75,94,88,977.8457569,89994265.58,326035.2634,12,11995428,488572648,11995428,1952930360,44620400,TRUE
