Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,param_count,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations,DONE
TBD,TBD,xception41,299,78.55,8,8,6.79111526,147236372,262784.5253,26.965096,26965096,4976503432,26969560,5042176456,96714976,TRUE
TBD,TBD,xception65,299,79.558,8,8,4.74173736,210876508.1,445912.5079,39.911848,39911848,7500438664,39916312,7586588872,126394080,TRUE
TBD,TBD,nasnetalarge,331,82.638,8,8,3.58256447,279049845.6,629709.8629,88.752958,88752958,10283993476,88753150,10372980346,158223608,TRUE
TBD,TBD,pnasnet5large,331,82.814,8,8,3.8781923,257792924.2,572546.6362,86.057476,86057476,10818162916,86057668,10831006852,158053226,TRUE
TBD,TBD,rexnet_100,224,77.862,8,8,27.7619462,36011774.43,96935.13676,4.756869,4756869,398381721,4796873,405289939,41632925,TRUE
TBD,TBD,cs3darknet_l,256,80.35,8,8,12.61267851,79272003.46,169189.9234,21.135176,21135176,3711239144,21164168,3717887464,40298400,TRUE
TBD,TBD,cs3darknet_m,288,80.882,8,8,23.0679526,43336171.47,67412.49408,9.293296,9293296,1584022504,9310240,1588143208,24598816,TRUE
TBD,TBD,cs3darknet_x,256,81.856,8,8,7.61679711,131274580.9,243839.0809,35.00688,35006880,6397215720,35046320,6406027880,53633440,TRUE
TBD,TBD,cs3edgenet_x,256,82.198,8,8,5.78028242,172986428.7,405369.4663,47.77488,47774880,8805663720,47821120,8815683240,60877600,TRUE
TBD,TBD,cs3se_edgenet_x,256,82.768,8,8,5.55091077,180136144.5,355554.0401,50.675344,50675344,8808564184,50721584,8818586288,60905752,TRUE
TBD,TBD,cs3sedarknet_l,256,81.208,8,8,12.04996031,82973835.73,126474.0269,21.8846,21884600,3711988568,21913592,3718638088,40311600,TRUE
TBD,TBD,cs3sedarknet_x,256,81.296,8,8,7.8592838,127200872.7,269645.5643,35.358464,35358464,6397567304,35397904,6406379928,53648432,TRUE
TBD,TBD,cspresnext50,256,80.548,8,8,9.2796116,107732646.1,338330.1472,20.512424,20512424,3074425832,20569896,3086869480,76076960,TRUE
TBD,TBD,darknet53,256,80.008,8,8,6.7111223,148963482.3,333265.1489,41.574216,41574216,7109157864,41609928,7118741480,64282528,TRUE
TBD,TBD,darknetaa53,256,79.754,8,8,7.5210187,132920353.5,320282.915,35.987272,35987272,6081553384,36022984,6097358824,66615712,TRUE
TBD,TBD,deit3_base_patch16_224,224,83,8,8,3.916001,255284776.6,723719.1847,86.434024,86434024,201581032,86585320,16867042024,57483488,TRUE
TBD,TBD,densenetblur121d,288,77.32,8,8,10.1619955,98383658.84,240009.4449,7.914312,7914312,3073803240,7998088,3109854696,61257424,TRUE
TBD,TBD,dla46_c,224,64.88,8,8,34.12696466,29290464.83,41835.09461,1.3014,1301400,574278504,1301400,593663464,17527736,TRUE
TBD,TBD,dla46x_c,224,66.008,8,8,21.59640816,46295612.72,49301.76652,1.06844,1068440,532735592,1068440,556759016,21008696,TRUE
TBD,TBD,dla60_res2net,224,78.48,8,8,7.85788832,127247318.7,178494.046,20.848072,20848072,4122731320,20848072,4175768552,46599192,TRUE
TBD,TBD,dla60_res2next,224,78.488,8,8,6.52494249,153243743.1,243110.3419,17.032984,17032984,3458805736,17032984,3515352040,49115832,TRUE
TBD,TBD,dla60x,224,78.234,8,8,7.05238213,141783253.1,195895.4146,17.352344,17352344,3516612200,17352344,3574158312,50809272,TRUE
TBD,TBD,dla60x_c,224,67.928,8,8,20.07906932,49795156.73,72748.31019,1.319832,1319832,581309544,1319832,606834664,22488888,TRUE
